filename,genre
test.00000.wav,disco
test.00001.wav,country
test.00002.wav,disco
test.00003.wav,metal
test.00004.wav,disco
test.00005.wav,disco
test.00006.wav,reggae
test.00007.wav,reggae
test.00008.wav,pop
test.00009.wav,hiphop
test.00010.wav,pop
test.00011.wav,hiphop
test.00012.wav,pop
test.00013.wav,country
test.00014.wav,disco
test.00015.wav,hiphop
test.00016.wav,disco
test.00017.wav,disco
test.00018.wav,disco
test.00019.wav,reggae
test.00020.wav,country
test.00021.wav,reggae
test.00022.wav,disco
test.00023.wav,rock
test.00024.wav,disco
test.00025.wav,country
test.00026.wav,disco
test.00027.wav,disco
test.00028.wav,disco
test.00029.wav,disco
test.00030.wav,disco
test.00031.wav,pop
test.00032.wav,rock
test.00033.wav,reggae
test.00034.wav,disco
test.00035.wav,country
test.00036.wav,disco
test.00037.wav,disco
test.00038.wav,disco
test.00039.wav,blues
test.00040.wav,reggae
test.00041.wav,pop
test.00042.wav,disco
test.00043.wav,reggae
test.00044.wav,disco
test.00045.wav,blues
test.00046.wav,pop
test.00047.wav,blues
test.00048.wav,reggae
test.00049.wav,country
test.00050.wav,reggae
test.00051.wav,disco
test.00052.wav,pop
test.00053.wav,reggae
test.00054.wav,disco
test.00055.wav,disco
test.00056.wav,disco
test.00057.wav,country
test.00058.wav,reggae
test.00059.wav,pop
test.00060.wav,disco
test.00061.wav,disco
test.00062.wav,metal
test.00063.wav,metal
test.00064.wav,country
test.00065.wav,disco
test.00066.wav,reggae
test.00067.wav,pop
test.00068.wav,disco
test.00069.wav,disco
test.00070.wav,blues
test.00071.wav,pop
test.00072.wav,disco
test.00073.wav,disco
test.00074.wav,disco
test.00075.wav,country
test.00076.wav,reggae
test.00077.wav,metal
test.00078.wav,pop
test.00079.wav,pop
test.00080.wav,pop
test.00081.wav,pop
test.00082.wav,disco
test.00083.wav,country
test.00084.wav,rock
test.00085.wav,disco
test.00086.wav,disco
test.00087.wav,pop
test.00088.wav,reggae
test.00089.wav,reggae
test.00090.wav,metal
test.00091.wav,pop
test.00092.wav,reggae
test.00093.wav,rock
test.00094.wav,disco
test.00095.wav,disco
test.00096.wav,hiphop
test.00097.wav,pop
test.00098.wav,country
test.00099.wav,reggae
test.00100.wav,disco
test.00101.wav,disco
test.00102.wav,disco
test.00103.wav,disco
test.00104.wav,rock
test.00105.wav,metal
test.00106.wav,country
test.00107.wav,pop
test.00108.wav,disco
test.00109.wav,country
test.00110.wav,disco
test.00111.wav,reggae
test.00112.wav,reggae
test.00113.wav,disco
test.00114.wav,disco
test.00115.wav,hiphop
test.00116.wav,rock
test.00117.wav,country
test.00118.wav,disco
test.00119.wav,rock
test.00120.wav,pop
test.00121.wav,rock
test.00122.wav,pop
test.00123.wav,reggae
test.00124.wav,disco
test.00125.wav,disco
test.00126.wav,disco
test.00127.wav,reggae
test.00128.wav,disco
